gene_name	gene_ensembl	gene_type	Chr	Start	End	Strand
SFTPD	ENSG00000133661.15	protein_coding	chr10	79937740	79982614	-
SFTPD-AS1	ENSG00000273372.1	antisense	chr10	79968213	79973213	+
RP11-479O17.9	ENSG00000280259.1	TEC	chr10	79970963	79973213	-
ZNRF2P3	ENSG00000235924.1	processed_pseudogene	chr10	79981839	79982212	+
DPY19L2P5	ENSG00000225100.2	processed_pseudogene	chr10	79982910	79983240	-
RP11-369J21.11	ENSG00000229616.2	unprocessed_pseudogene	chr10	80017713	80017911	-
C1DP3	ENSG00000224760.4	processed_pseudogene	chr10	80024737	80025159	-
C1DP2	ENSG00000236217.4	processed_pseudogene	chr10	80031968	80032393	-
C1DP4	ENSG00000227515.3	processed_pseudogene	chr10	80040621	80041044	-
TMEM254-AS1	ENSG00000230091.6	antisense	chr10	80046860	80078912	-
RP11-369J21.13	ENSG00000282432.1	transcribed_unprocessed_pseudogene	chr10	80053428	80053548	-
TMEM254	ENSG00000133678.13	protein_coding	chr10	80078646	80092557	+
RP11-369J21.12	ENSG00000279399.1	TEC	chr10	80091411	80091867	-
RPL22P18	ENSG00000230171.1	processed_pseudogene	chr10	80125941	80126317	+
PLAC9	ENSG00000189129.13	protein_coding	chr10	80131682	80145359	+
ANXA11	ENSG00000122359.17	protein_coding	chr10	80150889	80205572	-
RP11-40F6.2	ENSG00000237523.1	lincRNA	chr10	80207710	80219657	+
RPS12P2	ENSG00000234319.1	processed_pseudogene	chr10	80215851	80216119	-
RP11-40F6.1	ENSG00000234382.2	unprocessed_pseudogene	chr10	80233664	80245367	+
EIF5AP4	ENSG00000234743.1	processed_pseudogene	chr10	80247219	80247683	-
RP11-36D19.9	ENSG00000279359.1	TEC	chr10	80249710	80254121	+
MAT1A	ENSG00000151224.12	protein_coding	chr10	80271820	80289684	-
RP11-36D19.4	ENSG00000232950.1	processed_pseudogene	chr10	80297720	80299655	+
RP11-36D19.8	ENSG00000235858.1	lincRNA	chr10	80333771	80334426	+
DYDC1	ENSG00000170788.13	protein_coding	chr10	80336105	80356755	-
DYDC2	ENSG00000133665.12	protein_coding	chr10	80344745	80368073	+
FAM213A	ENSG00000122378.13	protein_coding	chr10	80407829	80437115	+
TSPAN14	ENSG00000108219.14	protein_coding	chr10	80454166	80533123	+
RP11-137H2.4	ENSG00000226659.1	antisense	chr10	80529597	80535942	-
SH2D4B	ENSG00000178217.14	protein_coding	chr10	80537902	80646560	+
RP11-514F8.2	ENSG00000231082.1	lincRNA	chr10	80649797	80653732	+
RPS7P9	ENSG00000233353.1	processed_pseudogene	chr10	80716483	80717068	-
RP11-20E23.1	ENSG00000233703.1	processed_pseudogene	chr10	80749632	80751231	-
FARSBP1	ENSG00000231060.1	processed_pseudogene	chr10	80776165	80778088	-
RP11-315E23.1	ENSG00000227209.1	processed_pseudogene	chr10	80940665	80941201	-
RP11-102H24.1	ENSG00000226466.2	processed_pseudogene	chr10	81136540	81137335	-
NRG3	ENSG00000185737.12	protein_coding	chr10	81875314	82987179	+
RP11-202D18.2	ENSG00000229458.2	antisense	chr10	82224213	82229179	-
NRG3-AS1	ENSG00000225738.2	processed_transcript	chr10	82228985	82232920	-
RNU6-441P	ENSG00000207275.1	snRNA	chr10	82340771	82340876	+
RNU6-478P	ENSG00000200774.1	snRNA	chr10	83067962	83068071	-
RP11-510K18.1	ENSG00000234931.1	processed_pseudogene	chr10	83311628	83314475	-
RP11-344L13.2	ENSG00000233945.1	lincRNA	chr10	83672406	83675439	-
RP11-344L13.1	ENSG00000223565.1	processed_pseudogene	chr10	83735506	83736493	+
RNU6-129P	ENSG00000212324.1	snRNA	chr10	83764358	83764464	+
RP11-219F10.1	ENSG00000233258.1	lincRNA	chr10	83911654	83912922	-
RNU1-65P	ENSG00000200789.1	snRNA	chr10	84003332	84003479	+
HMGN2L8	ENSG00000212769.5	processed_pseudogene	chr10	84081429	84081995	+
RP11-338I21.1	ENSG00000271933.1	antisense	chr10	84138420	84140582	-
GHITM	ENSG00000165678.20	protein_coding	chr10	84139440	84153245	+
C10orf99	ENSG00000188373.4	protein_coding	chr10	84173738	84185294	+
CDHR1	ENSG00000148600.14	protein_coding	chr10	84194635	84219621	+
LRIT2	ENSG00000204033.9	protein_coding	chr10	84220495	84225589	-
LRIT1	ENSG00000148602.5	protein_coding	chr10	84231593	84241461	-
RGR	ENSG00000148604.13	protein_coding	chr10	84245053	84259960	+
RP11-124L5.7	ENSG00000229404.5	lincRNA	chr10	84279980	84294659	+
CCSER2	ENSG00000107771.16	protein_coding	chr10	84328558	84518521	+
RPL12P29	ENSG00000233189.1	processed_pseudogene	chr10	84389170	84389626	-
TNPO1P1	ENSG00000225423.1	processed_pseudogene	chr10	84390908	84392045	+
CACYBPP1	ENSG00000225928.2	processed_pseudogene	chr10	84454679	84456056	-
RPS3AP5	ENSG00000178429.9	processed_pseudogene	chr10	84560443	84561263	+
RP11-181F12.1	ENSG00000237267.1	lincRNA	chr10	85193421	85197958	-
RP11-475D12.1	ENSG00000223993.1	lincRNA	chr10	85431943	85432515	-
RP11-475D12.2	ENSG00000224504.2	lincRNA	chr10	85432863	85448961	+
RP11-113E21.1	ENSG00000230962.1	lincRNA	chr10	85449592	85491996	+
RP11-113E21.2	ENSG00000279910.1	TEC	chr10	85526880	85531115	-
RNU6-325P	ENSG00000223064.1	snRNA	chr10	85537379	85537483	+
RP11-113E21.3	ENSG00000280134.1	TEC	chr10	85555484	85557436	-
GRID1-AS1	ENSG00000234942.2	antisense	chr10	85577731	85607213	+
GRID1	ENSG00000182771.18	protein_coding	chr10	85599555	86366493	-
RF02271	ENSG00000278333.1	misc_RNA	chr10	85613017	85613186	-
RP11-93H12.4	ENSG00000270002.1	antisense	chr10	85644073	85648066	+
RN7SKP238	ENSG00000252292.1	misc_RNA	chr10	85650012	85650260	-
RP11-93H12.3	ENSG00000236606.1	processed_pseudogene	chr10	85708760	85709167	+
RNA5SP322	ENSG00000200487.1	rRNA	chr10	86052448	86052566	+
MIR346	ENSG00000199104.2	miRNA	chr10	86264694	86264788	-
WAPL	ENSG00000062650.18	protein_coding	chr10	86435256	86521815	-
RNU6-780P	ENSG00000212332.1	snRNA	chr10	86488446	86488549	+
RP11-77P6.2	ENSG00000227896.2	antisense	chr10	86521945	86525101	+
RPL7AP8	ENSG00000230507.5	processed_pseudogene	chr10	86630825	86631628	-
OPN4	ENSG00000122375.11	protein_coding	chr10	86654557	86666848	+
LDB3	ENSG00000122367.19	protein_coding	chr10	86668449	86736068	+
RP11-359E3.4	ENSG00000272631.1	antisense	chr10	86749754	86756298	-
BMPR1A	ENSG00000107779.13	protein_coding	chr10	86756601	86932838	+
RP11-420K10.1	ENSG00000270874.1	processed_pseudogene	chr10	86854696	86856236	-
RNU1-19P	ENSG00000200176.1	snRNA	chr10	86889569	86889733	+
MMRN2	ENSG00000173269.13	protein_coding	chr10	86935540	86969481	-
RP11-411A19.5	ENSG00000281974.1	TEC	chr10	86948677	86949875	+
SNCG	ENSG00000173267.13	protein_coding	chr10	86958618	86963260	+
ADIRF-AS1	ENSG00000272734.1	processed_transcript	chr10	86965345	86971311	-
ADIRF	ENSG00000148671.13	protein_coding	chr10	86968192	86983934	+
RP11-96C23.15	ENSG00000273413.1	antisense	chr10	86970237	86970826	-
RP11-96C23.5	ENSG00000271880.1	processed_transcript	chr10	86970741	87010126	+
BMS1P3	ENSG00000240089.2	transcribed_unprocessed_pseudogene	chr10	86992253	87000435	+
RP11-96C23.13	ENSG00000151303.11	processed_transcript	chr10	86992406	87010203	+
RP11-96C23.14	ENSG00000272508.1	processed_transcript	chr10	86993432	87024732	+
RP11-96C23.11	ENSG00000261011.1	transcribed_unprocessed_pseudogene	chr10	87001636	87009905	+
RP11-96C23.10	ENSG00000229969.1	antisense	chr10	87009785	87015782	-
FAM25A	ENSG00000188100.8	protein_coding	chr10	87020306	87024730	+
RP11-96C23.12	ENSG00000271573.1	processed_pseudogene	chr10	87027184	87027477	+
RNU6-529P	ENSG00000200253.1	snRNA	chr10	87041238	87041341	-
GLUD1	ENSG00000148672.8	protein_coding	chr10	87050486	87094866	-
FAM35A	ENSG00000122376.11	protein_coding	chr10	87094161	87191468	+
RP11-96C23.9	ENSG00000237280.1	sense_intronic	chr10	87113954	87115523	+
RN7SL733P	ENSG00000273946.1	misc_RNA	chr10	87154041	87154369	-
RP11-322M19.1	ENSG00000223482.7	antisense	chr10	87203875	87342612	-
RP11-322M19.4	ENSG00000285257.1	unprocessed_pseudogene	chr10	87214136	87216173	-
NUTM2A	ENSG00000184923.12	protein_coding	chr10	87225448	87236908	+
RP11-322M19.2	ENSG00000224914.3	bidirectional_promoter_lncRNA	chr10	87342736	87357882	+
NUTM2D	ENSG00000214562.14	protein_coding	chr10	87357668	87370695	+
RP11-157H10.4	ENSG00000237740.1	processed_pseudogene	chr10	87376896	87378481	+
CTSLL1	ENSG00000236417.2	unprocessed_pseudogene	chr10	87386685	87390203	-
RP11-399L7.2	ENSG00000228055.2	lincRNA	chr10	87397023	87424792	-
RP11-399L7.3	ENSG00000231569.1	processed_pseudogene	chr10	87408044	87408258	-
MIR4678	ENSG00000283672.1	miRNA	chr10	87503881	87503954	+
MINPP1	ENSG00000107789.15	protein_coding	chr10	87504875	87553460	+
RP11-57C13.4	ENSG00000223761.1	lincRNA	chr10	87591607	87606024	-
RP11-57C13.6	ENSG00000225913.2	lincRNA	chr10	87607985	87659279	+
RP11-57C13.3	ENSG00000196566.2	antisense	chr10	87610163	87660003	-
RP11-57C13.5	ENSG00000234192.1	processed_pseudogene	chr10	87642607	87642954	+
PAPSS2	ENSG00000198682.12	protein_coding	chr10	87659613	87747705	+
ATAD1	ENSG00000138138.13	protein_coding	chr10	87751512	87841343	-
CFL1P1	ENSG00000223820.5	transcribed_unprocessed_pseudogene	chr10	87817928	87845612	+
RN7SL78P	ENSG00000243782.3	misc_RNA	chr10	87832818	87833098	-
KLLN	ENSG00000227268.3	protein_coding	chr10	87859161	87863437	-
PTEN	ENSG00000171862.10	protein_coding	chr10	87863113	87971930	+
RP11-380G5.2	ENSG00000224745.1	sense_intronic	chr10	87878692	87880427	+
RP11-380G5.3	ENSG00000213613.2	processed_pseudogene	chr10	87945502	87946024	+
RF00284	ENSG00000200891.1	snoRNA	chr10	87994618	87994695	-
RP11-380G5.4	ENSG00000227905.1	processed_pseudogene	chr10	88048135	88049823	-
RP11-129G17.2	ENSG00000275015.1	unprocessed_pseudogene	chr10	88259129	88259372	-
RNLS	ENSG00000184719.11	protein_coding	chr10	88273864	88584530	-
RF00019	ENSG00000201548.1	misc_RNA	chr10	88585638	88585733	-
LIPJ	ENSG00000204022.9	protein_coding	chr10	88586753	88606976	+
RP11-425M17.3	ENSG00000237205.1	processed_pseudogene	chr10	88618223	88618934	-
LIPF	ENSG00000182333.14	protein_coding	chr10	88664441	88678814	+
RP11-186O14.7	ENSG00000271408.1	processed_pseudogene	chr10	88699683	88700401	+
LIPK	ENSG00000204021.3	protein_coding	chr10	88724544	88752786	+
RP11-186O14.5	ENSG00000226358.1	processed_pseudogene	chr10	88727485	88728914	+
LIPN	ENSG00000204020.5	protein_coding	chr10	88761406	88778242	+
RP11-186O14.4	ENSG00000235150.1	processed_pseudogene	chr10	88785600	88787061	-
LIPM	ENSG00000173239.13	protein_coding	chr10	88802730	88820546	+
ANKRD22	ENSG00000152766.5	protein_coding	chr10	88822132	88851818	-
RP11-399O19.6	ENSG00000234256.2	processed_pseudogene	chr10	88876450	88877544	+
STAMBPL1	ENSG00000138134.11	protein_coding	chr10	88879734	88975153	+
RP11-399O19.5	ENSG00000180139.11	antisense	chr10	88932390	88940820	+
ACTA2	ENSG00000107796.13	protein_coding	chr10	88935074	88991339	-
FAS	ENSG00000026103.21	protein_coding	chr10	88990582	89015785	+
RF02116	ENSG00000275693.1	misc_RNA	chr10	88992370	88992539	+
RP11-399O19.9	ENSG00000261438.1	sense_overlapping	chr10	89015836	89017059	+
MIR4679-2	ENSG00000265375.1	miRNA	chr10	89063335	89063411	-
MIR4679-1	ENSG00000283664.1	miRNA	chr10	89063336	89063410	+
RP11-341B24.3	ENSG00000233292.1	processed_pseudogene	chr10	89139044	89139458	+
CH25H	ENSG00000138135.6	protein_coding	chr10	89205629	89207314	-
LIPA	ENSG00000107798.17	protein_coding	chr10	89213569	89414557	-
IFIT2	ENSG00000119922.9	protein_coding	chr10	89283694	89309276	+
RP11-149I23.3	ENSG00000232110.7	antisense	chr10	89283765	89292125	+
IFIT3	ENSG00000119917.13	protein_coding	chr10	89327894	89340971	+
RP11-149I23.5	ENSG00000224289.1	unprocessed_pseudogene	chr10	89362294	89363487	+
IFIT1B	ENSG00000204010.3	protein_coding	chr10	89378056	89385205	+
IFIT1	ENSG00000185745.9	protein_coding	chr10	89392546	89406486	+
IFIT5	ENSG00000152778.8	protein_coding	chr10	89414586	89421001	+
SLC16A12	ENSG00000152779.13	protein_coding	chr10	89430299	89556641	-
RP11-168O10.6	ENSG00000234452.5	antisense	chr10	89456064	89468140	+
PANK1	ENSG00000152782.16	protein_coding	chr10	89579497	89645572	-
MIR107	ENSG00000198997.2	miRNA	chr10	89592747	89592827	-
RP11-80H5.5	ENSG00000249962.1	processed_pseudogene	chr10	89644603	89645223	-
RP11-80H5.2	ENSG00000232936.5	antisense	chr10	89645282	89650667	+
RP11-80H5.6	ENSG00000225836.1	lincRNA	chr10	89646289	89650822	-
RP11-80H5.9	ENSG00000235100.3	lincRNA	chr10	89667181	89699671	-
RP11-80H5.7	ENSG00000240996.1	lincRNA	chr10	89694295	89697928	-
KIF20B	ENSG00000138182.14	protein_coding	chr10	89701610	89774939	+
RP11-248C1.4	ENSG00000283578.1	processed_pseudogene	chr10	89786610	89787107	+
RP11-248C1.2	ENSG00000232229.5	lincRNA	chr10	89829510	89840861	+
RP11-248C1.3	ENSG00000270670.1	processed_pseudogene	chr10	89837612	89839334	-
LINC01374	ENSG00000280560.1	lincRNA	chr10	89853906	89914948	+
RP11-478K7.2	ENSG00000226159.1	lincRNA	chr10	89915489	89957373	-
RP11-478K7.1	ENSG00000228938.3	processed_pseudogene	chr10	89978717	89979070	+
RN7SKP143	ENSG00000222451.1	misc_RNA	chr10	90163651	90163960	-
RP11-15K3.1	ENSG00000236373.1	lincRNA	chr10	90402521	90540805	-
RP11-94M14.2	ENSG00000224750.6	lincRNA	chr10	90454170	90502968	+
RP11-94M14.3	ENSG00000238291.1	lincRNA	chr10	90462717	90467952	+
RP11-30G13.1	ENSG00000283053.1	lincRNA	chr10	90622143	90623611	-
HTR7	ENSG00000148680.15	protein_coding	chr10	90740823	90857698	-
RPP30	ENSG00000148688.13	protein_coding	chr10	90871716	90908553	+
RF00019	ENSG00000222305.1	misc_RNA	chr10	90880040	90880179	-
ANKRD1	ENSG00000148677.6	protein_coding	chr10	90912096	90921276	-
RNU6-740P	ENSG00000201604.1	snRNA	chr10	90922731	90922835	-
RP11-236B18.2	ENSG00000225519.1	lincRNA	chr10	90994620	91006390	+
RP11-236B18.5	ENSG00000273124.1	lincRNA	chr10	90997480	90997713	-
RP11-236B18.4	ENSG00000224851.1	lincRNA	chr10	91047166	91062159	+
RP11-236B18.1	ENSG00000220585.4	processed_pseudogene	chr10	91053051	91055047	+
RP11-56M3.1	ENSG00000234043.3	processed_pseudogene	chr10	91152605	91153349	-
PCGF5	ENSG00000180628.14	protein_coding	chr10	91163012	91284331	+
HECTD2	ENSG00000165338.16	protein_coding	chr10	91409280	91514829	+
RP11-108M11.3	ENSG00000271385.1	processed_pseudogene	chr10	91464578	91464708	-
RPS27P1	ENSG00000223876.1	processed_pseudogene	chr10	91544852	91545098	+
PPP1R3C	ENSG00000119938.8	protein_coding	chr10	91628442	91633054	-
RP11-106M14.2	ENSG00000213449.2	processed_pseudogene	chr10	91666780	91667782	-
RP11-251A15.1	ENSG00000228759.1	processed_pseudogene	chr10	91765899	91767196	-
RP11-251A15.4	ENSG00000228701.1	antisense	chr10	91782839	91798291	-
TNKS2	ENSG00000107854.5	protein_coding	chr10	91798312	91865276	+
RP11-251A15.5	ENSG00000180581.7	processed_pseudogene	chr10	91807179	91807439	-
RP11-402D21.3	ENSG00000273497.1	unprocessed_pseudogene	chr10	91896704	91896897	+
FGFBP3	ENSG00000174721.9	protein_coding	chr10	91906589	91909483	-
RP11-402D21.2	ENSG00000272817.1	antisense	chr10	91908131	91909348	+
BTAF1	ENSG00000095564.13	protein_coding	chr10	91923769	92030325	+
CPEB3	ENSG00000107864.14	protein_coding	chr10	92046692	92291087	-
RF00402	ENSG00000252993.1	snoRNA	chr10	92076242	92076365	+
RP11-360G10.2	ENSG00000214549.2	processed_pseudogene	chr10	92118664	92119164	+
RP11-360G10.3	ENSG00000213484.2	processed_pseudogene	chr10	92136875	92138370	+
RF00622	ENSG00000221042.1	ribozyme	chr10	92204229	92204306	-
NOLA2P1	ENSG00000105988.6	processed_pseudogene	chr10	92216332	92216793	+
RF00019	ENSG00000199881.1	misc_RNA	chr10	92272147	92272250	-
MARCH5	ENSG00000198060.9	protein_coding	chr10	92291163	92353964	+
RNY3P12	ENSG00000202297.1	misc_RNA	chr10	92334463	92334564	+
RP11-543N17.2	ENSG00000232709.1	processed_pseudogene	chr10	92418667	92420875	+
IDE	ENSG00000119912.15	protein_coding	chr10	92451684	92574076	-
KIF11	ENSG00000138160.5	protein_coding	chr10	92593286	92655395	+
RP11-366I13.3	ENSG00000184111.6	processed_pseudogene	chr10	92596852	92597287	-
RN7SL644P	ENSG00000264313.2	misc_RNA	chr10	92659044	92659302	+
EIF2S2P3	ENSG00000236493.2	processed_pseudogene	chr10	92668745	92669743	-
HHEX	ENSG00000152804.10	protein_coding	chr10	92689951	92695646	+
RF00019	ENSG00000201412.1	misc_RNA	chr10	92710499	92710608	-
EXOC6	ENSG00000138190.16	protein_coding	chr10	92834713	93059493	+
RP11-477L16.2	ENSG00000225118.1	processed_pseudogene	chr10	92878092	92878289	-
RP11-348J12.2	ENSG00000226425.1	antisense	chr10	93059663	93060426	-
CYP26C1	ENSG00000187553.8	protein_coding	chr10	93060808	93069536	+
RP11-348J12.5	ENSG00000279607.1	lincRNA	chr10	93071972	93073466	+
CYP26A1	ENSG00000095596.11	protein_coding	chr10	93073475	93077890	+
RP11-280G19.1	ENSG00000232805.1	processed_pseudogene	chr10	93106872	93107383	-
RP11-280G19.2	ENSG00000237417.1	processed_pseudogene	chr10	93206857	93209627	-
RP11-624L12.1	ENSG00000213432.2	processed_pseudogene	chr10	93284004	93284558	-
MYOF	ENSG00000138119.16	protein_coding	chr10	93306429	93482317	-
CEP55	ENSG00000138180.15	protein_coding	chr10	93496632	93529092	+
RNA5SP323	ENSG00000212396.1	rRNA	chr10	93510548	93510680	-
FFAR4	ENSG00000186188.10	protein_coding	chr10	93566665	93604480	+
RBP4	ENSG00000138207.13	protein_coding	chr10	93591687	93601744	-
PDE6C	ENSG00000095464.9	protein_coding	chr10	93612588	93666010	+
FRA10AC1	ENSG00000148690.11	protein_coding	chr10	93667883	93702572	-
LGI1	ENSG00000108231.12	protein_coding	chr10	93757809	93806272	+
RP11-437J2.3	ENSG00000280660.1	sense_intronic	chr10	93762453	93771991	+
RP11-437J2.4	ENSG00000280485.1	antisense	chr10	93772681	93788605	-
RP11-397J18.1	ENSG00000227995.1	processed_pseudogene	chr10	93881293	93881938	-
SLC35G1	ENSG00000176273.14	protein_coding	chr10	93893973	93956062	+
PIPSL	ENSG00000180764.13	transcribed_processed_pseudogene	chr10	93958191	93961540	-
PLCE1	ENSG00000138193.15	protein_coding	chr10	94030812	94332823	+
RP11-429H9.4	ENSG00000232913.7	antisense	chr10	94081950	94108814	-
RP11-162K11.4	ENSG00000231575.1	sense_intronic	chr10	94109116	94121107	+
RP11-391J2.1	ENSG00000234724.1	processed_pseudogene	chr10	94137748	94139500	+
RNU6-657P	ENSG00000206631.1	snRNA	chr10	94155639	94155745	-
RP11-391J2.3	ENSG00000228553.1	antisense	chr10	94225160	94227288	-
RP11-76P2.3	ENSG00000268894.6	antisense	chr10	94279277	94287478	-
RP11-76P2.4	ENSG00000273450.1	antisense	chr10	94314907	94315327	-
NOC3L	ENSG00000173145.11	protein_coding	chr10	94333226	94362959	-
TBC1D12	ENSG00000108239.8	protein_coding	chr10	94402504	94535930	+
HELLS	ENSG00000119969.14	protein_coding	chr10	94501434	94613905	+
RP11-119K6.6	ENSG00000244332.1	sense_overlapping	chr10	94577439	94611238	+
RP11-119K6.4	ENSG00000235746.1	processed_pseudogene	chr10	94646364	94647996	-
CYP2C18	ENSG00000108242.12	protein_coding	chr10	94683621	94736190	+
RP11-400G3.5	ENSG00000276490.1	protein_coding	chr10	94688154	94853073	+
CYP2C19	ENSG00000165841.10	protein_coding	chr10	94762681	94853205	+
RP11-466J14.3	ENSG00000230338.1	processed_pseudogene	chr10	94774156	94774633	-
RP11-400G3.2	ENSG00000235199.1	processed_pseudogene	chr10	94865852	94873129	-
RP11-400G3.3	ENSG00000225354.1	processed_pseudogene	chr10	94882554	94883343	+
CYP2C9	ENSG00000138109.10	protein_coding	chr10	94938658	94989391	+
RP11-208C17.2	ENSG00000233377.1	processed_pseudogene	chr10	94940253	94941121	-
RP11-208C17.3	ENSG00000228460.1	unprocessed_pseudogene	chr10	95007126	95007556	-
RP11-208C17.7	ENSG00000260863.1	unprocessed_pseudogene	chr10	95009674	95009812	+
RP11-208C17.4	ENSG00000237885.1	processed_pseudogene	chr10	95031640	95032048	+
CYP2C8	ENSG00000138115.13	protein_coding	chr10	95036772	95069497	-
RP11-310E22.5	ENSG00000231829.2	lincRNA	chr10	95141925	95168425	-
RP11-310E22.6	ENSG00000274691.1	unprocessed_pseudogene	chr10	95173085	95173187	-
RP11-310E22.2	ENSG00000225533.1	processed_pseudogene	chr10	95183653	95184217	+
ACSM6	ENSG00000173124.14	protein_coding	chr10	95194200	95228928	+
RP11-310E22.4	ENSG00000234026.1	antisense	chr10	95228243	95231144	-
PDLIM1	ENSG00000107438.8	protein_coding	chr10	95237572	95291024	-
SORBS1	ENSG00000095637.21	protein_coding	chr10	95311771	95561414	-
RP11-7D5.2	ENSG00000214362.2	processed_pseudogene	chr10	95594598	95595372	+
ALDH18A1	ENSG00000059573.8	protein_coding	chr10	95605929	95656706	-
TCTN3	ENSG00000119977.20	protein_coding	chr10	95663396	95694143	-
ENTPD1	ENSG00000138185.19	protein_coding	chr10	95711779	95869695	+
RP11-429G19.2	ENSG00000226688.6	antisense	chr10	95753206	96090238	-
RP11-429G19.3	ENSG00000240527.1	sense_intronic	chr10	95833508	95873758	+
RP11-248J23.7	ENSG00000270099.1	protein_coding	chr10	95860548	95924844	+
CC2D2B	ENSG00000188649.13	protein_coding	chr10	95907603	96032684	+
RP11-248J23.5	ENSG00000227805.1	processed_pseudogene	chr10	95999778	96000243	-
CCNJ	ENSG00000107443.15	protein_coding	chr10	96043394	96060870	+
MIR3157	ENSG00000266407.1	miRNA	chr10	96064315	96064399	-
RNU6-271P	ENSG00000200728.1	snRNA	chr10	96112747	96112851	+
ZNF518A	ENSG00000177853.14	protein_coding	chr10	96129715	96205288	+
RP11-44D15.3	ENSG00000229417.1	processed_pseudogene	chr10	96189366	96190219	-
BLNK	ENSG00000095585.16	protein_coding	chr10	96191702	96271587	-
RP11-35J23.1	ENSG00000229418.2	antisense	chr10	96292685	96306695	-
DNTT	ENSG00000107447.7	protein_coding	chr10	96304396	96338564	+
OPALIN	ENSG00000197430.10	protein_coding	chr10	96343216	96359365	-
TLL2	ENSG00000095587.8	protein_coding	chr10	96364606	96513918	-
TM9SF3	ENSG00000077147.14	protein_coding	chr10	96518109	96587452	-
RP11-34E5.2	ENSG00000235677.1	processed_pseudogene	chr10	96560185	96560922	+
PIK3AP1	ENSG00000155629.14	protein_coding	chr10	96593312	96720514	-
RNA5SP324	ENSG00000202047.1	rRNA	chr10	96619376	96619483	+
RP11-34E5.4	ENSG00000227032.1	processed_pseudogene	chr10	96620877	96621707	-
RNU6-1274P	ENSG00000207287.1	snRNA	chr10	96743167	96743273	+
RPL13AP5	ENSG00000236552.2	processed_pseudogene	chr10	96750288	96750899	+
MIR607	ENSG00000207976.1	miRNA	chr10	96828669	96828764	-
LCOR	ENSG00000196233.13	protein_coding	chr10	96832282	96995959	+
RP11-153G4.2	ENSG00000232875.1	processed_pseudogene	chr10	96915633	96915902	-
SLIT1	ENSG00000187122.16	protein_coding	chr10	96998038	97185920	-
RP11-453E2.2	ENSG00000234855.1	antisense	chr10	97102756	97103747	+
ARHGAP19-SLIT1	ENSG00000269891.2	protein_coding	chr10	97153045	97292637	-
ARHGAP19	ENSG00000213390.10	protein_coding	chr10	97222173	97292673	-
RP11-375N9.2	ENSG00000231398.1	processed_pseudogene	chr10	97275012	97278097	+
RF00017	ENSG00000277308.1	misc_RNA	chr10	97297290	97297557	+
RP11-452K12.3	ENSG00000237169.1	processed_pseudogene	chr10	97309138	97309958	-
FRAT1	ENSG00000165879.8	protein_coding	chr10	97319267	97321915	+
FRAT2	ENSG00000181274.6	protein_coding	chr10	97332497	97334709	-
RP11-452K12.4	ENSG00000225850.3	bidirectional_promoter_lncRNA	chr10	97334564	97343203	+
RRP12	ENSG00000052749.13	protein_coding	chr10	97356358	97426076	-
RP11-452K12.6	ENSG00000231508.1	processed_pseudogene	chr10	97393197	97393547	-
RP11-452K12.7	ENSG00000231970.1	antisense	chr10	97401115	97419524	+
RF00019	ENSG00000200737.1	misc_RNA	chr10	97421195	97421307	-
PGAM1	ENSG00000171314.8	protein_coding	chr10	97426160	97433441	+
EXOSC1	ENSG00000171311.12	protein_coding	chr10	97436142	97446017	-
ZDHHC16	ENSG00000171307.18	protein_coding	chr10	97446131	97457370	+
MMS19	ENSG00000155229.20	protein_coding	chr10	97458324	97498794	-
UBTD1	ENSG00000165886.4	protein_coding	chr10	97498868	97571209	+
ANKRD2	ENSG00000165887.11	protein_coding	chr10	97572499	97583884	+
HOGA1	ENSG00000241935.8	protein_coding	chr10	97584323	97612802	+
RP11-548K23.11	ENSG00000249967.1	protein_coding	chr10	97584374	97673910	+
C10orf62	ENSG00000203942.4	protein_coding	chr10	97589727	97590934	+
MORN4	ENSG00000171160.17	protein_coding	chr10	97614553	97633500	-
PI4K2A	ENSG00000155252.13	protein_coding	chr10	97640686	97676434	+
AVPI1	ENSG00000119986.6	protein_coding	chr10	97677424	97687323	-
MARVELD1	ENSG00000155254.12	protein_coding	chr10	97713173	97718152	+
ZFYVE27	ENSG00000155256.17	protein_coding	chr10	97737121	97760907	+
SFRP5	ENSG00000120057.4	protein_coding	chr10	97766751	97771952	-
RP11-459F3.3	ENSG00000227356.2	lincRNA	chr10	97828478	97849798	-
GOLGA7B	ENSG00000155265.10	protein_coding	chr10	97850239	97871580	+
CRTAC1	ENSG00000095713.13	protein_coding	chr10	97865000	98030828	-
AL355301.1	ENSG00000278752.1	misc_RNA	chr10	98076361	98076421	-
R3HCC1L	ENSG00000166024.13	protein_coding	chr10	98134624	98244897	+
LOXL4	ENSG00000138131.3	protein_coding	chr10	98247690	98268250	-
RP11-34A14.3	ENSG00000230928.1	antisense	chr10	98252023	98256575	+
PYROXD2	ENSG00000119943.12	protein_coding	chr10	98383565	98415184	-
MIR1287	ENSG00000284415.1	miRNA	chr10	98395218	98395307	-
HPS1	ENSG00000107521.18	protein_coding	chr10	98416198	98446947	-
MIR4685	ENSG00000264610.1	miRNA	chr10	98431292	98431360	-
HPSE2	ENSG00000172987.12	protein_coding	chr10	98457077	99235862	-
MIR6507	ENSG00000274056.1	miRNA	chr10	98924499	98924568	-
RP11-379D21.2	ENSG00000236818.1	processed_pseudogene	chr10	99013103	99013952	-
